#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
32,Belgium,"4,617,315",,"32,941 ",,"4,535,594","+2,328","48,780",55,"394,381","2,814","35,962,048","3,071,642","11,707,760 ",Europe,33550,,,"4,166",
33,Canada,"4,336,860",,"46,389 ",,"4,230,896","+3,197","59,575",99,"112,595","1,204","65,722,182","1,706,298","38,517,421 ",North America,98301,,,"1,547",
34,Switzerland,"4,211,438",,"14,255 ",,"4,113,950","+5,590","83,233",73,"478,415","1,619","22,653,313","2,573,395","8,802,890 ",Europe,26180,,,"9,455",
35,Czechia,"4,161,797",+85,"41,660 ",+3,"4,116,248",+812,"3,889",23,"386,946","3,873","56,505,785","5,253,661","10,755,506 ",Europe,32580,8,0.3,362,
36,Peru,"4,161,617",,"217,080 ",,"3,935,735",+217,"8,802",37,"122,227","6,376","35,844,165","1,052,750","34,048,134 ",South America,81571,,,259,
37,South Africa,"4,029,942",,"102,363 ",,"3,912,506",,"15,073",192,"65,999","1,676","26,473,049","433,552","61,060,846 ",Africa,155972,,,247,
38,Philippines,"4,009,466",,"64,274 ",,"3,928,577",,"16,615",353,"35,482",569,"33,323,944","294,906","112,998,694 ",Asia,"281,7583",,,147,
39,Romania,"3,289,184",,"67,213 ",,"3,215,934",,"6,037",90,"173,687","3,549","25,529,132","1,348,082","18,937,377 ",Europe,62821,,,319,
40,Denmark,"3,138,750",,"7,387 ",,"3,123,762",,"7,601",1,"537,460","1,265","128,667,520","22,032,208","5,839,974 ",Europe,27910,,,"1,302",
41,Sweden,"2,614,997",,"20,721 ",,"2,581,691",+601,"12,585",17,"255,202","2,022","19,071,994","1,861,267","10,246,778 ",Europe,44951,,,"1,228",
42,Iraq,"2,461,484",,"25,358 ",,"2,435,765",,361,21,"58,139",599,"19,377,732","457,691","42,338,063 ",Asia,"171,6702",,,9,
43,Serbia,"2,408,606",,"17,283 ",,"2,375,462",,"15,861",21,"278,291","1,997","11,422,856","1,319,800","8,654,993 ",Europe,45011,,,"1,833",
44,Hungary,"2,141,513",,"47,938 ",,"2,061,999",,"31,576",25,"223,006","4,992","11,394,556","1,186,571","9,602,928 ",Europe,42001,,,"3,288",
45,Singapore,"2,123,328",,"1,687 ",,"2,043,021",,"78,620",15,"356,375",283,"24,622,510","4,132,590","5,958,130 ",Asia,"33,5320",,,"13,195",
46,Bangladesh,"2,035,828",,"29,426 ",,"1,982,542",,"23,860","1,331","12,080",175,"15,018,835","89,115","168,533,554 ",Asia,"835,72711",,,142,
47,Hong Kong,"1,947,695",,"10,470  ",,"1,758,841",,"178,384",9,"254,952","1,371","66,284,763","8,676,617","7,639,471 ",Asia,47300,,,"23,350",
